indicator,indicator_family,required
Final energy consumption|Agriculture|Liquids|Fossil|Gasoline,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Others|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|P2L,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|P2L,fuel_eff_emi_nav,False
Installed capacity|Electricity|Liquids|Fossil|Methanol|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Methanol|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Methanol|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Methanol|Boilers,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Methanol|Steam turbines,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Methanol|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Methanol|Steam turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Methanol|Steam turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Methanol|Steam turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Methanol|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Liquids|Fossil|Methanol,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Undefined,elec_eff_cooling,True
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Liquids|Fossil|Methanol,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Liquids|Fossil|Methanol,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Liquids|Fossil|Methanol,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Gases|Bio|Biomethane|PC0,fuel_eff_emi_road,True
Final energy consumption|Transportation|Aviation|Passenger|Liquids|P2L,fuel_eff_emi_fly,False
Socio-economic|Demographic|Households|Area,Other_inputs,False
Installed capacity|Electricity|Liquids|Fossil|Others|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Others|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Others|Boilers,fuel_consumption_supply,False
